,dim,total_sample,total_class,reduced_dim,load_data_runtime,total_runtime,memory_usage
18,28,50,2,2,22.16772461,66.21704102,84.70703125
24,28,100,2,2,38.63549805,101.8215332,78.90234375
37,28,200,2,2,71.99731445,114.8444824,82.96484375
44,28,400,2,2,138.8820801,185.4001465,77.95703125
59,28,800,2,2,249.6582031,291.380127,84.84375
39,28,1600,2,2,490.4243164,530.736084,79.63671875
23,28,3200,2,2,945.3364258,986.7634277,81.4921875
25,28,6400,2,2,1899.476074,1943.232666,87.1171875
32,28,12800,2,2,4176.959473,4221.821045,92.9609375
26,28,25600,2,2,11718.7644,11770.00024,111.7148438
34,24,50,2,2,20.84545898,55.39941406,91.69140625
29,24,100,2,2,40.95483398,75.68383789,102.078125
47,24,200,2,2,71.18017578,102.8894043,82.2578125
35,24,400,2,2,138.1672363,168.8166504,88.703125
50,24,800,2,2,257.6516113,291.9699707,87.53125
64,24,1600,2,2,487.1137695,518.2956543,81.2109375
7,24,3200,2,2,911.4675293,943.0427246,84.90234375
1,24,6400,2,2,1843.325928,1894.656982,77.80859375
14,24,12800,2,2,3752.308838,3786.49292,89.08203125
65,24,25600,2,2,9907.047607,9947.288574,106.7851563
9,20,50,2,2,23.95239258,47.50244141,79.53515625
68,20,100,2,2,37.85229492,59.88574219,105.0507813
15,20,200,2,2,69.26220703,92.66796875,85.30078125
8,20,400,2,2,137.3439941,159.3232422,80.91015625
22,20,800,2,2,244.958252,266.3579102,75.98046875
19,20,1600,2,2,471.4597168,491.2854004,81.765625
56,20,3200,2,2,1048.861816,1069.618164,86.8125
51,20,6400,2,2,1907.584961,1931.975586,88.03125
12,20,12800,2,2,3653.346191,3679.996826,87.21484375
67,20,25600,2,2,10643.88916,10672.82642,106.65625
46,16,50,2,2,22.83227539,39.46386719,85.45703125
31,16,100,2,2,40.703125,58.16943359,85.07421875
43,16,200,2,2,70.8515625,86.4296875,78.46484375
36,16,400,2,2,131.5993652,146.9787598,88.62890625
52,16,800,2,2,250.282959,265.1391602,86.6328125
11,16,1600,2,2,464.2834473,479.0915527,78.19921875
53,16,3200,2,2,956.6923828,971.2587891,83.484375
54,16,6400,2,2,1851.840576,1867.743408,87.453125
49,16,12800,2,2,3841.249268,3858.041748,87.296875
27,16,25600,2,2,8068.121582,8090.248047,120.7539063
13,12,50,2,2,23.25708008,31.5012207,86.43359375
62,12,100,2,2,37.71582031,46.02563477,80.33984375
17,12,200,2,2,66.3918457,75.4921875,84.89453125
4,12,400,2,2,129.4008789,138.5297852,81.90234375
20,12,800,2,2,241.4602051,251.4001465,80.94921875
60,12,1600,2,2,468.4545898,478.7785645,83.49609375
0,12,3200,2,2,990.3679199,1057.448975,66.58984375
10,12,6400,2,2,1861.538818,1871.289307,80.78125
45,12,12800,2,2,3822.97998,3835.020264,86.38671875
28,12,25600,2,2,7829.719971,7842.737061,103.4492188
38,8,50,2,2,20.64379883,26.20825195,82.96484375
5,8,100,2,2,37.95874023,45.91723633,81.7421875
55,8,200,2,2,86.77075195,94.71289063,85.625
69,8,400,2,2,117.7773438,122.9968262,104.703125
42,8,800,2,2,274.125,279.1948242,79.625
21,8,1600,2,2,451.3496094,455.9790039,76.02734375
40,8,3200,2,2,904.8237305,909.7124023,79.72265625
48,8,6400,2,2,1800.673096,1807.884277,84.34375
2,8,12800,2,2,3502.169189,3512.371338,83.9140625
57,8,25600,2,2,7232.751709,7240.511475,88.9921875
3,4,50,2,2,25.11035156,27.45947266,83.47265625
16,4,100,2,2,36.35620117,38.87329102,85.30078125
63,4,200,2,2,69.50805664,72.3527832,79.71875
58,4,400,2,2,127.6662598,130.9553223,87.9765625
33,4,800,2,2,237.3295898,241.0895996,91.8671875
6,4,1600,2,2,447.0661621,449.5566406,78.32421875
66,4,3200,2,2,892.0280762,895.6437988,102.5742188
61,4,6400,2,2,1756.890137,1759.80249,81.50390625
41,4,12800,2,2,3499.004883,3502.403564,83.90234375
30,4,25600,2,2,7289.081787,7293.841309,87.74609375
