dim,total_sample,total_class,reduced_dim,data_time,total_time,memory_usage}
28,50,2,2,10.103365,15.586037,184
28,100,2,2,12.042735,15.320829,256
28,200,2,2,15.426509,18.634697,656
28,400,2,2,29.225803,33.377589,506
28,800,2,2,57.262044,62.8007,712
28,1600,2,2,92.946828,110.249094,544
28,3200,2,2,160.118419,178.414547,253
28,6400,2,2,351.917682,381.555143,196
28,12800,2,2,875.476957,938.64968,615
28,25600,2,2,1798.711456,1916.961418,354
24,50,2,2,5.452181,8.436775,622
24,100,2,2,7.360035,10.285945,517
24,200,2,2,22.556648,26.906354,588
24,400,2,2,25.246896,30.123852,637
24,800,2,2,54.414597,61.100657,634
24,1600,2,2,80.278027,87.758302,595
24,3200,2,2,138.995469,183.443145,94
24,6400,2,2,419.922147,505.071553,250
24,12800,2,2,596.321443,667.482996,172
24,25600,2,2,2624.468141,2784.739,718
20,50,2,2,5.097125,9.552206,107
20,100,2,2,8.65486,11.922096,230
20,200,2,2,15.313904,19.118708,176
20,400,2,2,29.257487,38.653068,103
20,800,2,2,36.729049,41.526173,293
20,1600,2,2,66.86804,74.586222,233
20,3200,2,2,134.296636,147.637399,546
20,6400,2,2,400.57024,445.774689,619
20,12800,2,2,575.163631,622.807188,311
20,25600,2,2,2570.604825,2663.40587,227
16,50,2,2,10.882156,13.277634,580
16,100,2,2,6.434185,9.871617,534
16,200,2,2,9.191818,12.150451,491
16,400,2,2,19.597462,22.815107,648
16,800,2,2,45.523437,51.468101,640
16,1600,2,2,73.036863,80.745534,264
16,3200,2,2,123.67848,134.783226,719
16,6400,2,2,189.372575,209.218043,646
16,12800,2,2,1306.607501,1363.489832,601
16,25600,2,2,978.294441,1053.661759,510
12,50,2,2,4.045051,7.382406,311
12,100,2,2,9.193138,10.718804,534
12,200,2,2,9.065269,12.231131,180
12,400,2,2,11.440737,17.151775,166
12,800,2,2,20.825045,24.789843,248
12,1600,2,2,41.874705,50.100827,491
12,3200,2,2,712.231619,1511.169298,216
12,6400,2,2,136.542817,153.805718,222
12,12800,2,2,295.224478,328.010436,580
12,25600,2,2,767.478168,827.5142,514
8,50,2,2,7.07778,8.897584,660
8,100,2,2,4.306935,10.017617,169
8,200,2,2,6.585046,8.20889,651
8,400,2,2,8.136951,10.435217,237
8,800,2,2,23.520842,27.644797,483
8,1600,2,2,31.610116,36.761356,271
8,3200,2,2,60.108916,67.680554,587
8,6400,2,2,159.177722,184.588889,667
8,12800,2,2,252.540146,280.217032,158
8,25600,2,2,458.543045,505.96776,674
4,50,2,2,3.435625,7.02453,158
4,100,2,2,3.268802,5.690229,176
4,200,2,2,5.282381,7.810317,534
4,400,2,2,6.563519,8.164449,678
4,800,2,2,23.467019,29.787304,622
4,1600,2,2,19.720535,25.186198,177
4,3200,2,2,32.903709,39.265346,739
4,6400,2,2,50.234586,61.246181,530
4,12800,2,2,100.66922,123.451686,667
4,25600,2,2,219.605971,261.341091,530
